title,artist,audio_url,lyrics,tags,hint,answer
Off the Record,IVE,https://singsonggame.s3.amazonaws.com/audios/OfftheRecord_IVE_trimmed.mp3,"시간이 됐어, it's two A.M
목소릴 낮추고 더 속삭여줄래
이 밤이 좀 더 깊어지면
뭔가 더 솔직해도 될 것 같은 기분이 들어
있잖아 가끔 난 무척
발칙한 상상을 해
남들은 절대 모를 걸
이젠 비공개 mode야
This late night conversation
멈추지 않아
No more time
No more ""kill my vibe""
This late night conversation
잠들지 않아
Yeah, 비밀스럽게 잠겨진 문","2023,댄스,여자 가수,여자 아이돌,케이팝",off ___ ______,offtherecord
Baddie,IVE,https://singsonggame.s3.amazonaws.com/audios/Baddie_IVE_trimmed.mp3,"(Ba-ba-ba-ba-ba-ba-ba)
뭐든 될 대로 되라지
Catch me if you can
나는 없어 거기 이미
어차피 못 찾을 테니
Catch me if you can
Nothing like the regulars
내 DNA엔 blue blood runs
더 솔직하게 말해줘
착한 척은 지겨워
우리 앞에선 룰이 의미 없었어 굳이
유행이 돌고 돌아도 난 그 틀에 없어 이미
I wanna break, I wanna kick, 뛰어 놀래 시끄럽게
다채로운 매력 수많은 변칙 위에 더 빛을 발하지
답답한 건 벗어 던져","2023,댄스,여자 가수,여자 아이돌,케이팝",b_____,baddie
해야,IVE,https://singsonggame.s3.amazonaws.com/audios/HEYA_IVE_trimmed.mp3,"Let's get it
Look at it
Pay attention
얼어붙은 맘 어디 깨볼까? (해야, 해야, 해야)
놀라버렸던 네 심장 말이야 (한입에 널 삼킬 때야)
맘에 들었어, 넌 그냥 say yes (해야, 해야, 해야)
내가 널 부르면 ""얼음 땡"" (Do you remember?)
(Da-da, da-dun-dun)
(Ah-ooh) 널 노리는 내 두 눈 (Uh-huh)
(Ah-ooh) 숨을 죽인 그다음 (Uh-huh)
(Ah-ooh) 한 발 낮춘 attitude (My attitude)
(Ah-ooh) 때를 기다리는 pose (Ah-ooh)
(Ah) 어둠 속 빛난 tiger eyes (Woo)
(Ah-ooh) 날 감춘 채로 다가가 (Uh-huh, uh-huh)
(Ah-ooh) 새빨간 말로 홀려 놔 (Ayy)","2024,댄스,여자 가수,여자 아이돌,케이팝",ㅎㅇ,해야
Accendio,IVE,https://singsonggame.s3.amazonaws.com/audios/Accendio_IVE_trimmed.mp3,"Yeah
Dear priest
고백할 게 있어
피 한 방울과 tears
그저 연극일 뿐
이건 은밀한 독백
아름답지만 born bad
예측하지 마 no way
You just talk too much
Oh, 아름답지만 섬찟할 거야
첫인상은 강한 게 좋지
Oh, 다정하지만 얼음장 같아
Gonna make you crazy
Ooh, 평온했던 심장이
나를 볼 때, yeah, I like that, 멎을지 몰라","2024,댄스,여자 가수,여자 아이돌,케이팝",a_______,accendio
Rebel Heart,IVE,https://singsonggame.s3.amazonaws.com/audios/RebelHeart_IVE_trimmed.mp3,"Rebels in our heart
시작은 항상 다 이룬 것처럼
엔딩은 마치 승리한 것처럼
겁내지 않고 마음을 쏟을래
내 모양대로
이제 더 이상 신경 쓰지 않아 (더 이상)
어디에서도 내 맘을 지키기
오해 받을 땐 자유에 맡겨둘래
다 알게 될 거니까
So you can love me, hate me
You will never be, never be, never be me
Try me, I'll break free
You will never be, never be, never be me
We are rebels in our heart, rebels in our heart
We are rebels in our heart","2025,댄스,여자 가수,여자 아이돌,케이팝",rebel _____,rebelheart
ATTITUDE,IVE,https://singsonggame.s3.amazonaws.com/audios/ATTITUDE_IVE_trimmed.mp3,"Da-ra, da-da-da-ra
Da-da-da-ra, da-da-da-ra
Da-da-da-ra, da-da-da-ra
Da-da-da-ra, da-da-da-ra, da-da
내 감정선은 어딘가 좀 다르게 흘러 (Ah)
남들과는 다른 곳에 포커스를 걸어
Dress up to impress, but I'm impressing everyone
원하거나 말거나, 결국 날 찾을 걸
'Cause I freeze you with my mind
Then I set you right on fire
네가 날 싫어해도 내가 널 좋아할 수도 있어
You'll fall in love by the end of the song
이리저리 부딪혀도 행운은 늘 내 편인 걸
Da-da-da-ra, da-da-da-ra
Da-da-da-ra, da-da-da-ra","2025,댄스,여자 가수,여자 아이돌,케이팝",a_______,attitude
우주를 줄게,볼빨간사춘기,https://singsonggame.s3.amazonaws.com/audios/우주를줄게_볼빨간사춘기_trimmed.mp3,"커피를 너무 많이 마셨나 봐요
심장이 막 두근대고 잠은 잘 수가 없어요
한참 뒤에 별빛이 내리면
난 다시 잠들 순 없겠죠
지나간 새벽을 다 새면
다시 네 곁에 잠들겠죠
너의 품에 잠든 난 마치
천사가 된 것만 같아요
난 그대 품에 별빛을 쏟아 내리고
은하수를 만들어 어디든 날아가게 할거야","10년대,여자 가수,인디,케이팝",ㅇㅈㄹ ㅈㄱ,우주를줄게
썸 탈꺼야,볼빨간사춘기,https://singsonggame.s3.amazonaws.com/audios/썸탈꺼야_볼빨간사춘기_trimmed.mp3,"표현이 서툰 것도 잘못인가요?
나 차가운 도시에 따뜻한 여잔데
그냥 좋아한단 말도 안 되는가요?
솔직하게 난 말하고 싶어요
사라져 아니 사라지지 마
네 맘을 보여줘 아니 보여주지 마
하루 종일 머릿속에 네 미소만
우리 그냥 한번 만나볼래요?","10년대,여자 가수,인디,케이팝",ㅆ ㅌㄲㅇ,썸탈꺼야
여행,볼빨간사춘기,https://singsonggame.s3.amazonaws.com/audios/여행_볼빨간사춘기_trimmed.mp3,"저 오늘 떠나요 공항으로
핸드폰 꺼 놔요 제발 날 찾진 말아줘
시끄럽게 소리를 질러도 어쩔 수 없어 나
가볍게 손을 흔들며 bye bye-
쉬지 않고 빛났던 꿈같은 my youth
이리저리 치이고 또 망가질 때쯤
지쳤어 나 미쳤어 나 떠날 거야 다 비켜
I fly away-
","10년대,여자 가수,인디,케이팝",ㅇㅎ,여행
"나만, 봄",볼빨간사춘기,"https://singsonggame.s3.amazonaws.com/audios/나만,봄_볼빨간사춘기_trimmed.mp3","안돼 그만둬 거기까지 해 더 다가가면 너 정신 못 차려
안돼 그만해 꽃은 넣어둬 그냥 좀 바람이 불게 놔줘
왜 그럴까 사람들은 그냥 봄기운이 좋아 눈치 없이 밖을 나가는 걸까
왜 이럴까 뭐가 설렌다고 봄바람이 좋아 내 맘도 모르고 더 불어와
flower sunshine 완벽한 하루를 사실 너와 걸을 수 있다면 얼마나 좋을까
좋아한다고 말하기가 무서워서 네 곁을 맴돌고 있는 난
벚꽃도 뭐고 다 필요 없어 나는 네 곁에 있고 싶어 딱 붙어서
봄이 지나갈 때까지 다른 사람 다 사라져라 나만
봄","10년대,여자 가수,인디,케이팝",ㄴㅁ ㅂ,"나만,봄"
