title,artist,audio_url,lyrics,tags,hint,answer
Right Now,NewJeans,https://singsonggame.s3.amazonaws.com/audios/RightNow_NewJeans_trimmed.mp3,"Ah
Oh-woah
In no mood to find another
曖昧な関係のまま
さあ ⾒つけにいくだけよ
Baby, I don't care about the other summer
지금 내가 필요한 건
もう待てない
Baby, I don't
Hey
⾔いたいなら⾔ってよ
もう私壊れそう
더 늦지 말고 come my way, my way
'Cause it all depends on the right timing
Don't wanna close the door behind me","2024,댄스,여자 가수,여자 아이돌,케이팝",right ___,rightnow
GODS,NewJeans,https://singsonggame.s3.amazonaws.com/audios/GODS_NewJeans_trimmed.mp3,"(Ayy) This is what you came for
Blood on the game ball
Everybody droppin' like rainfall
(Uh) This is your moment
Eyes on the pulpit, kid
I think church just opened
And they're singin' your praises, la-la-la
Screamin' your name out la-la-loud
One more step, you're immortal now 'cause
Once you play God, once you play God
They're gonna crumble one by one
Then we gon' ride right into the sun
Like it's the day my kingdom come
Baby, we're
Yeah, we're","2023,댄스,여자 가수,여자 아이돌",g___,gods
ASAP,NewJeans,https://singsonggame.s3.amazonaws.com/audios/ASAP_NewJeans_trimmed.mp3,"H-h-hi, it's me again
I'm back (Hey)
Do you have the time?
Let's talk
A-S-A-P, baby
Hurry up, don't be lazy
A-S-A-P, baby
Hurry up, don't say maybe
할 얘기 다 한 줄 알고 빨간색 눌러
끊고 나니 생각나서 다시 또 울려
There's this one more thing
I'll show you come with me
So much to do and lots to see
Just for a minute
Tik, tok, tik, tok, tik, tok, tik, tik, tik","2023,댄스,여자 가수,여자 아이돌,케이팝",a___,asap
ELEVEN,IVE,https://singsonggame.s3.amazonaws.com/audios/ELEVEN_IVE_trimmed.mp3,"따분한 나의 눈빛이
무표정했던 얼굴이
널 보며 빛나고 있어
널 담은 눈동자는 odd
내 안에 빼곡하게 피어나는 blue
내가 지금 느끼는 이 감정들은 true
내 입술을 간지럽힌 낯선 그 이름
난 몰랐어 내 맘이 이리 다채로운지
긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my God
한 칸 더 채우고 있어
투명한 너와 나의 사이
가만히 들여다보다
일렁인 물결 속으로","2021,댄스,여자 가수,여자 아이돌,케이팝",e_____,eleven
LOVE DIVE,IVE,https://singsonggame.s3.amazonaws.com/audios/LOVEDIVE_IVE_trimmed.mp3,"Ooh, ooh
Yeah
네가 참 궁금해 그건 너도 마찬가지 (Ooh, ooh)
이거면 충분해 쫓고 쫓는 이런 놀이
참을 수 없는 이끌림과 호기심
묘한 너와 나 두고 보면 알겠지
Ooh-ooh, ooh-ooh
눈동자 아래로
Ooh-ooh, ooh-ooh
감추고 있는 거
Ooh-ooh, ooh-ooh
Yeah, it's so bad (So bad) it's good (It's good)
난 그 맘을 좀 봐야겠어
Narcissistic
My God, I love it","2022,댄스,여자 가수,여자 아이돌,케이팝",love ____,lovedive
After LIKE,IVE,https://singsonggame.s3.amazonaws.com/audios/AfterLIKE_IVE_trimmed.mp3,"또 모르지 내 마음이
저 날씨처럼 바뀔지
날 나조차 다 알 수 없으니?
(Na-na-na-na-na-na)
그게 뭐가 중요하니?
지금 네게 완전히
푹 빠졌단 게 중요한 거지
(Na-na-na-na-na-na)
아마 꿈만 같겠지만
분명 꿈이 아니야
달리 설명할 수 없는
이건 사랑일 거야
방금 내가 말한 감정
감히 의심하지 마
그냥 좋다는 게 아냐","2022,댄스,여자 가수,여자 아이돌,케이팝",after ____,afterlike
Kitsch,IVE,https://singsonggame.s3.amazonaws.com/audios/Kitsch_IVE_trimmed.mp3,"It's our time, 우린 달라 특별한 게 좋아
Oh, what a good time, 난 잘 살아 내 걱정은 낭비야
네가 보낸 DM을 읽고 나서 답이 없는 게
내 답이야 (That's my style)
O-O-T-D 하나까지 완전 우리답지
My favorite things 그런 것 들엔 좀 점수를 매기지 마
난 생겨 먹은 대로 사는 애야, 뭘 더 바래
That's my style (That's my style)
지금까지 한적 없는 custom fit
올려 대는 나의 feed엔 like it
홀린 듯이 눌러 모두 다 like it
내가 추는 춤을 다들 따라 춰
매일 너의 알고리즘에 난 떠
겉잡을 수 없이 올라 미친 score
우리-우리만의 자유로운","2023,댄스,여자 가수,여자 아이돌,케이팝",k_____,kitsch
I AM,IVE,https://singsonggame.s3.amazonaws.com/audios/IAM_IVE_trimmed.mp3,"다른 문을 열어 따라 갈 필요는 없어
넌 너의 길로 난 나의 길로, mm-mm
하루하루마다 색이 달라진 느낌
밝게 빛이 나는 길을 찾아
I'm on my way-ay-ay
넌 그냥 믿으면 돼
I'm on my way-ay-ay
보이는 그대로야
너는 누군가의 dreams come true
제일 좋은 어느 날의 déjà vu
머물고픈 어딘가의 낯선 view
I'll be far away
That's my life is 아름다운 galaxy
Be a writer, 장르로는 fantasy
내일 내게 열리는 건 big, big stage","2023,댄스,여자 가수,여자 아이돌,케이팝",i __,iam
Wave,IVE,https://singsonggame.s3.amazonaws.com/audios/Wave_IVE_trimmed.mp3,"W-A-V-E
I see you're falling deep for me
Baby, yes, I'm all you'll need
Ride the W-A-V-E
W-A-V-E
I see you're falling deep for me
Baby, yes, I'm all you'll need
Ride the W-A-V-E
Boy, you can come with me
きっと君と私
気付いてる, our love breeze
Ride the W-A-V-E
You gave me chills
まさか私が
Somebody like you","2023,댄스,여자 가수,여자 아이돌,케이팝",w___,wave
Either Way,IVE,https://singsonggame.s3.amazonaws.com/audios/EitherWay_IVE_trimmed.mp3,"누가 내 말투가 재수없대
잘난 척만 한대
또 누구는 내가 너무 착하대
바보같을 정도래
가끔은 이해조차 안 되는 시선들
억울하기도 하지만
오해가 만든 수많은 나와 얘기해
우리 모두 다 나야
전부 좋다구, ooh-ooh-ooh
누가 맞고 틀린 게 아닌 걸
모두 다르게 사랑하듯
내게는 언니같은 친구인데
어리광이 심하대
털털한 줄 알았던 저 아이는
마음이 넘 약한 걸","2023,댄스,여자 가수,여자 아이돌,케이팝",either ___,eitherway
